index,timestamp,epoch,wce,stage
0,1643722570226,0,0.8882579803466797,train
1,1643722653330,1,1.512211799621582,train
2,1643722736605,2,2.013494968414306,train
3,1643722819679,3,2.50911283493042,train
4,1643722902814,4,2.803417682647705,train
5,1643722985812,5,3.2711470127105717,train
6,1643723068915,6,3.6827237606048575,train
7,1643723151814,7,4.112405300140381,train
8,1643723234664,8,4.441777229309082,train
0,1643722570227,0,0.9534178972244264,val
1,1643722653330,1,0.5006976127624512,val
2,1643722736606,2,1.365036129951477,val
3,1643722819680,3,1.5681374073028564,val
4,1643722902814,4,1.6420754194259644,val
5,1643722985813,5,3.8026862144470215,val
6,1643723068916,6,4.395721435546875,val
7,1643723151814,7,3.7397594451904297,val
8,1643723234664,8,3.9691162109375,val
