index,timestamp,epoch,WeightedCrossEntropy,stage
0,1644586585617,0,-0.0812776610255241,train
1,1644586660766,1,0.6024015545845032,train
2,1644586735849,2,1.2582813501358032,train
3,1644586811023,3,1.805164456367493,train
4,1644586886015,4,2.306571245193481,train
5,1644586961011,5,2.8079779148101807,train
6,1644587035933,6,3.2278432846069336,train
7,1644587110791,7,3.567991018295288,train
8,1644587185678,8,3.885241031646729,train
9,1644587260648,9,4.175117015838623,train
10,1644587335762,10,4.488731384277344,train
11,1644587410607,11,4.7290120124816895,train
0,1644586585618,0,0.2257250249385833,val
1,1644586660766,1,1.4577540159225464,val
2,1644586735850,2,1.7013604640960691,val
3,1644586811024,3,1.6870797872543335,val
4,1644586886016,4,2.154844045639038,val
5,1644586961012,5,1.9369711875915527,val
6,1644587035934,6,3.293835163116455,val
7,1644587110792,7,3.640095472335816,val
8,1644587185679,8,3.842696189880371,val
9,1644587260649,9,4.968721389770508,val
10,1644587335762,10,4.243299007415772,val
11,1644587410608,11,4.499314308166504,val
