index,timestamp,epoch,bce,stage
0,1643722570226,0,1.0294506549835205,train
1,1643722653330,1,1.4809554815292358,train
2,1643722736605,2,1.8431918621063232,train
3,1643722819679,3,2.1872267723083496,train
4,1643722902814,4,2.3873744010925293,train
5,1643722985813,5,2.724292278289795,train
6,1643723068915,6,3.0061168670654297,train
7,1643723151814,7,3.3268182277679443,train
8,1643723234664,8,3.566514492034912,train
0,1643722570227,0,1.120487928390503,val
1,1643722653330,1,0.7401002049446106,val
2,1643722736606,2,1.3585857152938845,val
3,1643722819680,3,1.478277325630188,val
4,1643722902815,4,1.5872077941894531,val
5,1643722985814,5,3.212895393371582,val
6,1643723068916,6,3.611931324005127,val
7,1643723151815,7,3.1253018379211426,val
8,1643723234665,8,3.323850631713867,val
