index,timestamp,epoch,loss,stage
0,1643380540603,0,0.5516969561576843,train
1,1643380634521,1,0.4412893950939178,train
2,1643380728089,2,0.3891953229904175,train
3,1643380821265,3,0.361264020204544,train
4,1643380914320,4,0.3422958850860595,train
5,1643381007369,5,0.3256591856479645,train
6,1643381100399,6,0.3140747249126434,train
7,1643381193111,7,0.2969598174095154,train
8,1643381285730,8,0.2849868237972259,train
9,1643381378644,9,0.2732616364955902,train
10,1643381471307,10,0.2675790786743164,train
11,1643381563922,11,0.2528964579105377,train
0,1643380540603,0,1.2639894485473633,val
1,1643380634521,1,0.6124284863471985,val
2,1643380728089,2,0.7008898854255676,val
3,1643380821266,3,0.6210909485816956,val
4,1643380914320,4,0.6192324757575989,val
5,1643381007370,5,0.8782315254211426,val
6,1643381100400,6,0.5233795642852783,val
7,1643381193112,7,1.106690764427185,val
8,1643381285730,8,0.637098491191864,val
9,1643381378644,9,1.0776869058609009,val
10,1643381471308,10,0.5780658721923828,val
11,1643381563923,11,0.6876015067100525,val
