index,timestamp,epoch,accuracy,stage
0,1644833599043,0,0.7446014285087585,deeplabv3_plus
1,1644833680205,1,0.8328869938850403,deeplabv3_plus
2,1644833759734,2,0.8537681698799133,deeplabv3_plus
3,1644833839284,3,0.8673334717750549,deeplabv3_plus
4,1644833917294,4,0.8778299689292908,deeplabv3_plus
5,1644833995492,5,0.8865050673484802,deeplabv3_plus
6,1644834075396,6,0.8937438726425171,deeplabv3_plus
7,1644834154488,7,0.8999026417732239,deeplabv3_plus
8,1644834233280,8,0.905013144016266,deeplabv3_plus
9,1644834312366,9,0.9092817902565002,deeplabv3_plus
10,1644834391066,10,0.9127568006515504,deeplabv3_plus
11,1644834470532,11,0.9154624938964844,deeplabv3_plus
12,1644834551187,12,0.9178295731544496,deeplabv3_plus
13,1644834630102,13,0.9198708534240724,deeplabv3_plus
14,1644834708073,14,0.9218187928199768,deeplabv3_plus
15,1644834786207,15,0.9235073924064636,deeplabv3_plus
16,1644834864644,16,0.9250866770744324,deeplabv3_plus
17,1644834944779,17,0.9264363646507264,deeplabv3_plus
18,1644835023331,18,0.9278255701065063,deeplabv3_plus
19,1644835101444,19,0.9288905262947084,deeplabv3_plus
20,1644835179761,20,0.9300143122673036,deeplabv3_plus
21,1644835258391,21,0.930879294872284,deeplabv3_plus
22,1644835336952,22,0.931842029094696,deeplabv3_plus
23,1644835414850,23,0.9326586723327636,deeplabv3_plus
24,1644835493314,24,0.9335021376609802,deeplabv3_plus
0,1644835696858,0,0.7480392456054688,UNet_Xception
1,1644835745701,1,0.8064456582069397,UNet_Xception
2,1644835794360,2,0.8281630873680115,UNet_Xception
3,1644835843352,3,0.8432472348213196,UNet_Xception
4,1644835891667,4,0.8542870879173279,UNet_Xception
5,1644835940092,5,0.862313449382782,UNet_Xception
6,1644835988479,6,0.8669270873069763,UNet_Xception
7,1644836037862,7,0.8724430203437805,UNet_Xception
8,1644836087127,8,0.8756762146949768,UNet_Xception
9,1644836135496,9,0.8799117207527161,UNet_Xception
10,1644836184023,10,0.8830503821372986,UNet_Xception
11,1644836233347,11,0.886289119720459,UNet_Xception
12,1644836282216,12,0.8888306617736816,UNet_Xception
13,1644836330743,13,0.8936542272567749,UNet_Xception
14,1644836379820,14,0.8964687585830688,UNet_Xception
15,1644836428319,15,0.8997524976730347,UNet_Xception
16,1644836477432,16,0.9030137062072754,UNet_Xception
17,1644836525699,17,0.9058493375778198,UNet_Xception
18,1644836574236,18,0.9078918695449828,UNet_Xception
19,1644836622467,19,0.9097684025764464,UNet_Xception
20,1644836670858,20,0.9131713509559632,UNet_Xception
21,1644836719061,21,0.9114910960197448,UNet_Xception
22,1644836767764,22,0.9173787832260132,UNet_Xception
23,1644836816266,23,0.9195289015769958,UNet_Xception
24,1644836864833,24,0.9193353056907654,UNet_Xception
