index,timestamp,epoch,WeightedCrossEntropy,stage
0,1644833599043,0,-0.4260956048965454,deeplabv3_plus
1,1644833680206,1,-0.4471366703510284,deeplabv3_plus
2,1644833759734,2,-0.3807766139507293,deeplabv3_plus
3,1644833839284,3,-0.296593964099884,deeplabv3_plus
4,1644833917294,4,-0.2098520100116729,deeplabv3_plus
5,1644833995492,5,-0.1257768422365188,deeplabv3_plus
6,1644834075396,6,-0.0435469634830951,deeplabv3_plus
7,1644834154489,7,0.0400100015103817,deeplabv3_plus
8,1644834233281,8,0.1257234960794448,deeplabv3_plus
9,1644834312366,9,0.2126810699701309,deeplabv3_plus
10,1644834391067,10,0.2984638810157776,deeplabv3_plus
11,1644834470532,11,0.3856453895568847,deeplabv3_plus
12,1644834551187,12,0.4708771705627441,deeplabv3_plus
13,1644834630102,13,0.5564937591552734,deeplabv3_plus
14,1644834708073,14,0.6406261920928955,deeplabv3_plus
15,1644834786208,15,0.7241581678390503,deeplabv3_plus
16,1644834864644,16,0.8063482046127319,deeplabv3_plus
17,1644834944779,17,0.8895881175994873,deeplabv3_plus
18,1644835023331,18,0.97184157371521,deeplabv3_plus
19,1644835101444,19,1.0536590814590454,deeplabv3_plus
20,1644835179762,20,1.1345350742340088,deeplabv3_plus
21,1644835258391,21,1.2121533155441284,deeplabv3_plus
22,1644835336952,22,1.2914637327194214,deeplabv3_plus
23,1644835414850,23,1.366016507148743,deeplabv3_plus
24,1644835493314,24,1.44585919380188,deeplabv3_plus
0,1644835696858,0,0.3788994550704956,UNet_Xception
1,1644835745702,1,0.3794854581356048,UNet_Xception
2,1644835794360,2,0.3798485994338989,UNet_Xception
3,1644835843352,3,0.380137026309967,UNet_Xception
4,1644835891667,4,0.3803485035896301,UNet_Xception
5,1644835940092,5,0.3805182874202728,UNet_Xception
6,1644835988479,6,0.3806209862232208,UNet_Xception
7,1644836037862,7,0.3807385861873626,UNet_Xception
8,1644836087127,8,0.3808145821094513,UNet_Xception
9,1644836135496,9,0.3809047937393188,UNet_Xception
10,1644836184024,10,0.3809755146503448,UNet_Xception
11,1644836233348,11,0.3810401558876037,UNet_Xception
12,1644836282216,12,0.3811068832874298,UNet_Xception
13,1644836330743,13,0.381197988986969,UNet_Xception
14,1644836379820,14,0.3812633454799652,UNet_Xception
15,1644836428319,15,0.3813317418098449,UNet_Xception
16,1644836477432,16,0.3814035058021545,UNet_Xception
17,1644836525699,17,0.3814662098884582,UNet_Xception
18,1644836574237,18,0.3815108835697174,UNet_Xception
19,1644836622468,19,0.3815538287162781,UNet_Xception
20,1644836670858,20,0.381627470254898,UNet_Xception
21,1644836719061,21,0.3815875053405761,UNet_Xception
22,1644836767764,22,0.3817122280597687,UNet_Xception
23,1644836816266,23,0.3817644417285919,UNet_Xception
24,1644836864833,24,0.381756842136383,UNet_Xception
