index,timestamp,epoch,bce,stage
0,1643723341842,0,0.1858564466238021,train
1,1643723395845,1,0.1860681176185608,train
2,1643723450136,2,0.1863038837909698,train
3,1643723504522,3,0.1863825321197509,train
4,1643723558230,4,0.1864588260650634,train
5,1643723612431,5,0.1865986734628677,train
6,1643723666560,6,0.1867880821228027,train
7,1643723720651,7,0.186873197555542,train
8,1643723774541,8,0.1867894381284713,train
0,1643723341843,0,0.1705317944288253,val
1,1643723395846,1,0.1703919619321823,val
2,1643723450137,2,0.171021282672882,val
3,1643723504523,3,0.1710537672042846,val
4,1643723558230,4,0.1714728772640228,val
5,1643723612432,5,0.1716008782386779,val
6,1643723666561,6,0.1718205511569976,val
7,1643723720652,7,0.1717954874038696,val
8,1643723774543,8,0.1716229021549224,val
