index,timestamp,epoch,loss,stage
0,1644835696858,0,0.8802576661109924,train
1,1644835745701,1,0.6070078611373901,train
2,1644835794359,2,0.5437881350517273,train
3,1644835843352,3,0.4983149468898773,train
4,1644835891667,4,0.463071197271347,train
5,1644835940092,5,0.4364674389362335,train
6,1644835988478,6,0.4193605780601501,train
7,1644836037862,7,0.4009526968002319,train
8,1644836087127,8,0.3886384069919586,train
9,1644836135496,9,0.3738466203212738,train
10,1644836184023,10,0.3613448739051819,train
11,1644836233347,11,0.3504335582256317,train
12,1644836282216,12,0.3401423394680023,train
13,1644836330743,13,0.3241816163063049,train
14,1644836379820,14,0.3134548664093017,train
15,1644836428318,15,0.3018952906131744,train
16,1644836477431,16,0.2920796275138855,train
17,1644836525698,17,0.2823614478111267,train
18,1644836574236,18,0.2750099003314972,train
19,1644836622467,19,0.2686516046524048,train
20,1644836670857,20,0.2587540745735168,train
21,1644836719061,21,0.2640571594238281,train
22,1644836767764,22,0.2437554448843002,train
23,1644836816266,23,0.2373623251914978,train
24,1644836864832,24,0.2372990250587463,train
0,1644835696859,0,0.9337664842605592,val
1,1644835745702,1,1.1736704111099243,val
2,1644835794360,2,0.9946351647377014,val
3,1644835843353,3,1.2255409955978394,val
4,1644835891668,4,0.9067038893699646,val
5,1644835940093,5,0.8350451588630676,val
6,1644835988480,6,0.8236996531486511,val
7,1644836037863,7,0.7094607353210449,val
8,1644836087128,8,0.6697039604187012,val
9,1644836135497,9,0.8433605432510376,val
10,1644836184024,10,0.7618873119354248,val
11,1644836233348,11,0.7659088373184204,val
12,1644836282217,12,0.639708936214447,val
13,1644836330744,13,0.8250654935836792,val
14,1644836379821,14,0.745075523853302,val
15,1644836428319,15,0.756523072719574,val
16,1644836477432,16,1.0318078994750977,val
17,1644836525699,17,0.636492908000946,val
18,1644836574237,18,0.6878024935722351,val
19,1644836622468,19,0.6668256521224976,val
20,1644836670858,20,1.308367133140564,val
21,1644836719062,21,0.6872935891151428,val
22,1644836767765,22,0.6472989916801453,val
23,1644836816267,23,0.95235013961792,val
24,1644836864833,24,0.7250770926475525,val
